created_at,description,issued,flow,wallet
2025-02-06 00:00:00,BUDGET (SAVINGS),283418.0,IN,freedom_fund
2025-02-05 00:00:00,BUDGET ,800000.0,IN,freedom_fund
2025-02-01 00:00:00,BUAT MAMA,30000.0,OUT,freedom_fund
2025-02-03 00:00:00,PULSA 5000,7000.0,OUT,freedom_fund
2025-02-05 00:00:00,ADMIN SOBATKU,2500.0,OUT,freedom_fund
2025-02-07 00:00:00,KOLEKTE,15000.0,OUT,freedom_fund
2025-02-07 00:00:00,KFC SOUP,11500.0,OUT,freedom_fund
2025-02-11 00:00:00,BUAT MAMA,30000.0,OUT,freedom_fund
2025-02-11 00:00:00,BU ANNA,28000.0,OUT,freedom_fund
2025-02-11 00:00:00,COKLAT DOSEN,62500.0,OUT,freedom_fund
2025-02-13 00:00:00,MIE HARLIE,30000.0,OUT,freedom_fund
2025-02-15 00:00:00,BUAT MAMA,30000.0,OUT,freedom_fund
2025-02-16 00:00:00,BUAT MAMA,30000.0,OUT,freedom_fund
2025-02-16 00:00:00,SHAMPOO,62000.0,OUT,freedom_fund
2025-02-19 00:00:00,CIMB REINBURST,57500.0,OUT,freedom_fund
2025-02-21 00:00:00,PISANG,27000.0,OUT,freedom_fund
2025-02-21 00:00:00,SHOPEE,68790.0,OUT,freedom_fund
2025-02-21 00:00:00,SHOPEE,91770.0,OUT,freedom_fund
2025-02-24 00:00:00,RAMEN YA,55100.0,OUT,freedom_fund
2025-02-25 00:00:00,BUAT MAMA,30000.0,OUT,freedom_fund
2025-02-25 00:00:00,YOUTUBE,41500.0,OUT,freedom_fund
2025-02-25 00:00:00,SIKAT BOTOL,9900.0,OUT,freedom_fund
2025-02-26 00:00:00,FAMILY MART,21800.0,OUT,freedom_fund
2025-02-26 00:00:00,YOUTUBE,10000.0,OUT,freedom_fund
2025-02-26 00:00:00,FAMERS MARKET,12848.0,OUT,freedom_fund
2025-02-27 00:00:00,KETOPRAK,13000.0,OUT,freedom_fund
2025-02-28 00:00:00,FARMERS MARKET,13000.0,OUT,freedom_fund
2025-02-28 00:00:00,ES KRIM,12000.0,OUT,freedom_fund
2025-02-02 00:00:00,BUDGET (WIFI),185000.0,IN,savings
2025-02-03 00:00:00,BUDGET (KREDIVO BALIK),10000000.0,IN,savings
2025-02-05 00:00:00,BUDGET,2000000.0,IN,savings
2025-02-28 00:00:00,BUDGET (LACAK),6000000.0,IN,savings
2025-02-06 00:00:00,SUNTIK DANA (WASTING),283418.0,OUT,savings
2025-02-10 00:00:00,SUNTIK DANA (BUSINESS),500000.0,OUT,savings
