created_at,description,issued,flow,wallet
2025-01-08 00:00:00,BUDGET,800000.0,IN,freedom_fund
2025-01-17 00:00:00,GRAB MAMA,75000.0,IN,freedom_fund
2025-01-19 00:00:00,SANDISK SD CARD,35000.0,IN,freedom_fund
2025-01-01 00:00:00,SNACK,50000.0,OUT,freedom_fund
2025-01-03 00:00:00,KOLEKTE,30000.0,OUT,freedom_fund
2025-01-04 00:00:00,BURGER KING,35000.0,OUT,freedom_fund
2025-01-06 00:00:00,SMARTFREN,60500.0,OUT,freedom_fund
2025-01-06 00:00:00,TELKOMSEL PULSA,17000.0,OUT,freedom_fund
2025-01-08 00:00:00,ADMIN SOBATKU,2500.0,OUT,freedom_fund
2025-01-08 00:00:00,TERANG BULAN,51000.0,OUT,freedom_fund
2025-01-09 00:00:00,SUSU CUCI MOTOR,5000.0,OUT,freedom_fund
2025-01-10 00:00:00,OLEH OLEH BU RUDY,135000.0,OUT,freedom_fund
2025-01-10 00:00:00,KOLEKTE,20000.0,OUT,freedom_fund
2025-01-10 00:00:00,MAKAN TANJUNG API,69001.0,OUT,freedom_fund
2025-01-12 00:00:00,KOLEKTE,15000.0,OUT,freedom_fund
2025-01-12 00:00:00,CE NATH + BUAH PEAR,72000.0,OUT,freedom_fund
2025-01-14 00:00:00,REIN TJGN API (CHARITY),50000.0,OUT,freedom_fund
2025-01-14 00:00:00,REIN TRK TUNAI (CHARITY),50000.0,OUT,freedom_fund
2025-01-14 00:00:00,REINBURSMENT,116000.0,OUT,freedom_fund
2025-01-16 00:00:00,FARMERS MARKET,5900.0,OUT,freedom_fund
2025-01-17 00:00:00,ES KRIM,18000.0,OUT,freedom_fund
2025-01-17 00:00:00,GRAB MAMA,75000.0,OUT,freedom_fund
2025-01-18 00:00:00,KFC CREAM SOUP,13500.0,OUT,freedom_fund
2025-01-19 00:00:00,SANDISK SD CARD,33500.0,OUT,freedom_fund
2025-01-23 00:00:00,YOUTUBE PREMIUM,46000.0,OUT,freedom_fund
2025-01-25 00:00:00,BUAT MAMA,30000.0,OUT,freedom_fund
2025-01-26 00:00:00,KOLEKTE,15000.0,OUT,freedom_fund
2025-01-26 00:00:00,SMARTFREN,60000.0,OUT,freedom_fund
2025-01-27 00:00:00,CUKUR RAMBUT,35000.0,OUT,freedom_fund
2025-01-31 00:00:00,KOLEKTE,15000.0,OUT,freedom_fund
2025-01-08 00:00:00,BUDGET (KJSB),2000000.0,IN,savings
2025-01-14 00:00:00,BUDGET (WIFI),185000.0,IN,savings
2025-01-16 00:00:00,PAPA TRANSIT #1,500000000.0,IN,savings
2025-01-16 00:00:00,PAPA TRANSIT #2,150260000.0,IN,savings
2025-01-22 00:00:00,BUDGET (PASSPOR),950000.0,IN,savings
2025-01-24 00:00:00,BUDGET (LACAK.IO),6000000.0,IN,savings
2025-01-04 00:00:00,KREDIVO MAMA,2848990.0,OUT,savings
2025-01-06 00:00:00,WIFI (6 BULAN),1110000.0,OUT,savings
2025-01-11 00:00:00,SUNTIK BISNIS,500000.0,OUT,savings
2025-01-11 00:00:00,SUNTIK CHARITY,500000.0,OUT,savings
2025-01-14 00:00:00,MAMA PINJEM,500000.0,OUT,savings
2025-01-16 00:00:00,PAPA TRANSIT #1,500000000.0,OUT,savings
2025-01-16 00:00:00,PAPA TRANSIT #2,150000000.0,OUT,savings
2025-01-16 00:00:00,PAPA TRANSIT #3,260000.0,OUT,savings
2025-01-26 00:00:00,PASSPOR,950000.0,OUT,savings
2025-01-26 00:00:00,SUNTIK BISNIS,8000000.0,OUT,savings
2025-01-11 00:00:00,BUDGET,500000.0,IN,business
2025-01-26 00:00:00,BUDGET (SUNTIK),8000000.0,IN,business
2025-01-27 00:00:00,CAPCUT (REFUND),39416.0,IN,business
2025-01-13 00:00:00,KEYBOARD MECHANICAL,200000.0,OUT,business
2025-01-19 00:00:00,ALIBABA,7990216.0,OUT,business
2025-01-23 00:00:00,CAPCUT,38000.0,OUT,business
2025-01-27 00:00:00,CAPCUT (MING),35000.0,OUT,business
2025-01-28 00:00:00,DUO LINGO,310000.0,OUT,business
2025-01-28 00:00:00,DUO LINGO,20000.0,OUT,business
2025-01-11 00:00:00,BUDGET,500000.0,IN,charity
2025-01-14 00:00:00,BUDGET (DEPOT),50000.0,IN,charity
2025-01-14 00:00:00,BUDGET (TARIK TUNAI),50000.0,IN,charity
2025-01-21 00:00:00,PAK SALIM,50000.0,IN,charity
2025-01-03 00:00:00,DEPOT TANJUNG API,226000.0,OUT,charity
2025-01-28 00:00:00,CANGKIR MAMA,10000.0,OUT,charity
2025-01-05 00:00:00,PKR KALIBATA,75000.0,IN,daily_needs
2025-01-20 00:00:00,WIFI (PAPA),200000.0,IN,daily_needs
2025-01-05 00:00:00,PKR KALIBATA,75000.0,OUT,daily_needs
2025-01-09 00:00:00,CUCI MOTOR,25000.0,OUT,daily_needs
2025-01-14 00:00:00,WIFI,185000.0,OUT,daily_needs
2025-01-17 00:00:00,DANCOW,34000.0,OUT,daily_needs
2025-01-19 00:00:00,GALON 2 PCS,20000.0,OUT,daily_needs
2025-01-19 00:00:00,KETOPRAK,26000.0,OUT,daily_needs
2025-01-20 00:00:00,GOJEK,20000.0,OUT,daily_needs
2025-01-20 00:00:00,GOJEK,20000.0,OUT,daily_needs
2025-01-21 00:00:00,PRINT BUAT PASSPOR,40500.0,OUT,daily_needs
2025-01-21 00:00:00,APOTEK DEIN,40000.0,OUT,daily_needs
2025-01-21 00:00:00,GALON 2 PCS,20000.0,OUT,daily_needs
2025-01-21 00:00:00,PAK SALIM,50000.0,OUT,daily_needs
2025-01-26 00:00:00,FAMILY MART,14100.0,OUT,daily_needs
