created_at,description,issued,flow,wallet
2025-05-01 00:00:00,BUDGET (SUNTIK),516877.0,IN,freedom_fund
2025-05-07 00:00:00,BUDGET,800000.0,IN,freedom_fund
2025-05-16 00:00:00,FADZAR BURGER,23000.0,IN,freedom_fund
2025-05-18 00:00:00,SHOPEE,17457.0,IN,freedom_fund
2025-05-20 00:00:00,SUNTIK DANA ,400000.0,IN,freedom_fund
2025-05-01 00:00:00,FARMER MARKETS,21400.0,OUT,freedom_fund
2025-05-02 00:00:00,AGAM,33000.0,OUT,freedom_fund
2025-05-04 00:00:00,TIKET BIOSKOP PT1,36900.0,OUT,freedom_fund
2025-05-04 00:00:00,TIKET + GAP WIDITRA AGAM,11000.0,OUT,freedom_fund
2025-05-04 00:00:00,FAMILY MART,10000.0,OUT,freedom_fund
2025-05-05 00:00:00,ES KRIM,8000.0,OUT,freedom_fund
2025-05-05 00:00:00,COKLAT FARMERS,25000.0,OUT,freedom_fund
2025-05-07 00:00:00,PERLENGKAPAN EXHBITION,68531.0,OUT,freedom_fund
2025-05-07 00:00:00,BARBER,35000.0,OUT,freedom_fund
2025-05-07 00:00:00,ADMIN SOBATKU,2500.0,OUT,freedom_fund
2025-05-07 00:00:00,CALL OF DUTY (CICIL 3 out 4),200000.0,OUT,freedom_fund
2025-05-08 00:00:00,FAMILY MART,7100.0,OUT,freedom_fund
2025-05-08 00:00:00,COKLAT FARMERS,25000.0,OUT,freedom_fund
2025-05-09 00:00:00,COKLAT FARMERS,20900.0,OUT,freedom_fund
2025-05-11 00:00:00,FM BISKUIT + SUSU,20200.0,OUT,freedom_fund
2025-05-12 00:00:00,SHOPEE,33401.0,OUT,freedom_fund
2025-05-12 00:00:00,MARTABAK ,38000.0,OUT,freedom_fund
2025-05-13 00:00:00,PAKET NELPON US,3500.0,OUT,freedom_fund
2025-05-13 00:00:00,PULSA,12250.0,OUT,freedom_fund
2025-05-14 00:00:00,CHEATSHEET AI,10000.0,OUT,freedom_fund
2025-05-14 00:00:00,BURGER,46000.0,OUT,freedom_fund
2025-05-15 00:00:00,FAMILY MART,13200.0,OUT,freedom_fund
2025-05-15 00:00:00,SERVER MC BRYAN,10000.0,OUT,freedom_fund
2025-05-18 00:00:00,SHOPEE,18250.0,OUT,freedom_fund
2025-05-18 00:00:00,FARMER MARKETS,8500.0,OUT,freedom_fund
2025-05-19 00:00:00,ESCAPE ROOM,168750.0,OUT,freedom_fund
2025-05-19 00:00:00,BRYAN O RACHAA,101000.0,OUT,freedom_fund
2025-05-20 00:00:00,FARMER MARKETS,12000.0,OUT,freedom_fund
2025-05-20 00:00:00,ES KRIM MONAS,13000.0,OUT,freedom_fund
2025-05-20 00:00:00,MING MAKAN,121000.0,OUT,freedom_fund
2025-05-20 00:00:00,GRAB ANGEL,25000.0,OUT,freedom_fund
2025-05-20 00:00:00,MONAS MING,13000.0,OUT,freedom_fund
